Observationsstation;År;Månad;Dag;Tid [Lokal tid];Lufttemperatur [°C];Daggpunktstemperatur [°C];Molnighet [1/8];Lufttryck [hPa];Relativ luftfuktighet [%];Nederbördsmängd [mm];Snödjup [cm];Horisontell sikt [m];Vindriktning [°];Byvindshastighet [m/s];Vindhastighet [m/s]
Helsingfors Kajsaniemi;2025;1;2;07:10;-7,1;-8,5;Klart (0/8);986,5;90;0;5;50000;318;5,8;3,4
Helsingfors Kajsaniemi;2025;1;2;07:20;-7,4;-8,7;Klart (0/8);986,7;90;0;5;50000;318;4,7;3,1
Helsingfors Kajsaniemi;2025;1;2;07:30;-7,3;-8,8;Klart (0/8);986,9;89;0;5;49150;315;6;3,9
Helsingfors Kajsaniemi;2025;1;2;07:40;-7,3;-8,8;Klart (0/8);986,8;89;0;5;50000;317;6;3,9
Helsingfors Kajsaniemi;2025;1;2;07:50;-7,4;-8,9;Klart (1/8);986,8;89;0;5;50000;319;5,7;4
Helsingfors Kajsaniemi;2025;1;2;08:00;-7,5;-9,2;Klart (1/8);986,7;88;0;5;50000;317;6,7;4,9
Helsingfors Kajsaniemi;2025;1;2;08:10;-7,6;-9,2;Klart (1/8);986,9;88;0;5;50000;318;5,9;4,3
Helsingfors Kajsaniemi;2025;1;2;08:20;-7,8;-9,4;Klart (0/8);987;88;0;5;50000;316;6,2;4,4
Helsingfors Kajsaniemi;2025;1;2;08:30;-7,7;-9,4;Klart (0/8);987,1;87;0;5;50000;317;6,2;4,2
Helsingfors Kajsaniemi;2025;1;2;08:40;-8;-9,6;Klart (0/8);987,2;88;0;5;50000;316;5,2;3,8
Helsingfors Kajsaniemi;2025;1;2;08:50;-7,8;-9,5;Klart (0/8);987,3;88;0;5;50000;309;4,5;3,1
Helsingfors Kajsaniemi;2025;1;2;09:00;-7,8;-9,6;Klart (1/8);987,4;87;0;5;50000;312;5,7;3,9
Helsingfors Kajsaniemi;2025;1;2;09:10;-7,8;-9,4;Klart (1/8);987,5;88;0;5;50000;314;5,7;3,3
